"Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"CHINA         ","82","0.1943","64","18","0.220"
"USA           ","36","0.0853","29"," 7","0.194"
"UNITED KINGDOM","33","0.0782","24"," 9","0.273"
"AUSTRALIA     ","23","0.0545","12","11","0.478"
"CANADA        ","21","0.0498","14"," 7","0.333"
"GERMANY       ","18","0.0427","13"," 5","0.278"
"SPAIN         ","16","0.0379"," 8"," 8","0.500"
"ITALY         ","15","0.0355","10"," 5","0.333"
"IRAN          ","12","0.0284"," 8"," 4","0.333"
"KOREA         ","12","0.0284"," 9"," 3","0.250"
