"Paper         ","DOI","TC","TCperYear","NTC"
"BASBAGILL J, 2013, BUILD ENVIRON           ","10.1016/j.buildenv.2012.11.009 ","422","35.2","3.87"
"EADIE R, 2013, AUTOM CONSTR                ","10.1016/j.autcon.2013.09.001   ","415","34.6","3.80"
"WONG JKW, 2015, AUTOM CONSTR               ","10.1016/j.autcon.2015.06.003   ","395","39.5","8.90"
"PENG C, 2016, J CLEAN PROD                 ","10.1016/j.jclepro.2015.08.078  ","269","29.9","9.58"
"AKANBI LA, 2018, RESOUR CONSERV RECYCL     ","10.1016/j.resconrec.2017.10.026","223","31.9","4.41"
"COLLINGE WO, 2013, INT J LIFE CYCLE ASSESS ","10.1007/s11367-012-0528-2      ","175","14.6","1.60"
"ELEFTHERIADIS S, 2017, RENEW SUST ENERG REV","10.1016/j.rser.2016.09.028     ","174","21.8","8.39"
"HAO JL, 2020, SCI TOTAL ENVIRON            ","10.1016/j.scitotenv.2020.137870","162","32.4","5.99"
"YANG X, 2018, J CLEAN PROD                 ","10.1016/j.jclepro.2018.02.070  ","151","21.6","2.99"
"WANG J, 2018, J CLEAN PROD                 ","10.1016/j.jclepro.2017.11.087  ","148","21.1","2.93"
