"Paper         ","DOI","TC","TCperYear","NTC"
"MASTRUCCI A, 2017, RENEW SUST ENERG REV                                     ","10.1016/j.rser.2017.02.060        ","116","14.50","1.841"
"MASTRUCCI A, 2017, RESOUR CONSERV RECYCL                                    ","10.1016/j.resconrec.2016.07.003   ","100","12.50","1.587"
"AL-GHAMDI SG, 2015, ENVIRON SCI TECHNOL                                     ","10.1021/es505938u                 "," 39"," 3.90","1.345"
"OSTERBRING M, 2019, BUILD ENVIRON                                           ","10.1016/j.buildenv.2019.106391    "," 23"," 3.83","1.769"
"ESCAMILLA EZ, 2017, INT J LIFE CYCLE ASSESS                                 ","10.1007/s11367-016-1238-y         "," 21"," 2.62","0.333"
"MASTRUCCI A, 2015, PROCEEDINGS OF ENVIROINFO AND ICT FOR SUSTAINABILITY 2015","NA                                "," 19"," 1.90","0.655"
"BOS U, 2020, INT J LIFE CYCLE ASSESS                                        ","10.1007/s11367-020-01730-y        "," 18"," 3.60","1.200"
"BANSAL VK, 2021, J ARCHIT ENG                                               ","10.1061/(ASCE)AE.1943-5568.0000490"," 16"," 4.00","1.000"
"GARCÍA-PÉREZ S, 2017, INT J SUSTAINABLE DEV PLANN                           ","10.2495/SDP-V12-N2-294-303        "," 15"," 1.88","0.238"
"HACKENHAAR IC, 2022, J CLEAN PROD                                           ","10.1016/j.jclepro.2021.130127     "," 12"," 4.00","1.920"
