"Sources       ","Articles"
"JOURNAL OF CLEANER PRODUCTION                                                  ","3"
"BUILDINGS                                                                      ","2"
"INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT                                 ","2"
"SUSTAINABILITY                                                                 ","2"
"2022 6TH INTERNATIONAL CONFERENCE ON GREEN ENERGY AND APPLICATIONS (ICGEA 2022)","1"
"APPLIED ENERGY                                                                 ","1"
"BUILDING AND ENVIRONMENT                                                       ","1"
"ENERGY CONVERSION AND MANAGEMENT                                               ","1"
"ENVIRONMENTAL IMPACT ASSESSMENT REVIEW                                         ","1"
"ENVIRONMENTAL SCIENCE \& TECHNOLOGY                                           ","1"
