"Sources       ","Articles"
"ENERGY AND BUILDINGS                                                                ","5"
"APPLIED ENERGY                                                                      ","3"
"BUILDING AND ENVIRONMENT                                                            ","2"
"ENERGIES                                                                            ","2"
"INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT                                      ","2"
"JOURNAL OF BUILDING ENGINEERING                                                     ","2"
"2021 IEEE 8TH INTERNATIONAL CONFERENCE ON DATA SCIENCE AND ADVANCED ANALYTICS (DSAA)","1"
"APPLIED SCIENCES-BASEL                                                              ","1"
"ARCHITECTURAL SCIENCE REVIEW                                                        ","1"
"BUILDING RESEARCH AND INFORMATION                                                   ","1"
